"selection1_name","selection1_url","selection1_Biography"
"Robert Zemeckis","https://www.imdb.com/name/nm0000709?ref_=nmls_hd","A whiz-kid with special effects, Robert is from the Spielberg camp of film-making (Steven Spielberg produced many of his films). Usually working with writing partner Bob Gale, Robert's earlier films show he has a talent for zany comedy (Romancing the Stone (1984), 1941 (1979)) and special effect vehicles (Who Framed Roger Rabbit (1988) and Back to the Future (1985)). His later films have become more serious, with the hugely successful Tom Hanks vehicle Forrest Gump (1994) and the Jodie Foster film Contact (1997), both critically acclaimed movies. Again, these films incorporate stunning effects. Robert has proved he can work a serious story around great effects."
"Ron Howard","https://www.imdb.com/name/nm0000165?ref_=nmls_hd","Academy Award-winning filmmaker Ron Howard is one of this generation's most popular directors. From the critically acclaimed dramas A Beautiful Mind (2001) and Apollo 13 (1995) to the hit comedies Parenthood (1989) and Splash (1984), he has created some of Hollywood's most memorable films.
Howard made his directorial debut in 1978 with the comedy Grand Theft Auto (1977). He began his career in film as an actor. He first appeared in The Journey (1959) and The Music Man (1962), then as Opie on the long-running television series The Andy Griffith Show (1960). Howard later starred in the popular series Happy Days (1974) and drew favorable reviews for his performances in American Graffiti (1973) and The Shootist (1976).
Howard and long-time producing partner Brian Grazer first collaborated on the hit comedies ""Night Shift"" and ""Splash"". The pair co-founded Imagine Entertainment in 1986 to create independently produced feature films.
Howard's portfolio includes some of the most popular films of the past 20 years. In 1991, Howard created the acclaimed drama ""Backdraft"", starring Robert De Niro, Kurt Russell and William Baldwin. He followed it with the historical epic Far and Away (1992), starring Tom Cruise and Nicole Kidman. Howard directed Mel Gibson, Rene Russo, Gary Sinise and Delroy Lindo in the 1996 suspense thriller Ransom (1996). Howard worked with Tom Hanks, Kevin Bacon, Ed Harris, Bill Paxton, Gary Sinise and Kathleen Quinlan on ""Apollo 13"", which was re-released recently in the IMAX format.
Howard's skill as a director has long been recognized. In 1995, he received his first Best Director of the Year award from the DGA for ""Apollo 13"". The true-life drama also garnered nine Academy Award nominations, winning Oscars for Best Film Editing and Best Sound. It also received Best Ensemble Cast and Best Supporting Actor awards from the Screen Actor's Guild. Many of Howard's past films have received nods from the Academy, including the popular hits Backdraft (1991), ""Parenthood"" and Cocoon (1985), the last of which took home two Oscars.
Howard directed and produced Cinderella Man (2005) starring Oscar winner Russell Crowe, with whom he previously collaborated on ""A Beautiful Mind"", for which Howard earned an Oscar for Best Director and which also won awards for Best Picture, Best Screenplay and Best Supporting Actress. The film garnered four Golden Globes as well, including the award for Best Motion Picture Drama. Additionally, Howard won Best Director of the Year from the Directors Guild of America. Howard and producer Brian Grazer received the first annual Awareness Award from the National Mental Health Awareness Campaign for their work on the film.
Howard was honored by the Museum of Moving Images in December 2005, and by the American Cinema Editors in February 2006. Howard and his creative partner Brian Grazer, were honored by the Producers Guild of America with the Milestone Award in January 2009, NYU's Tisch School of Cinematic Arts with the Big Apple Award in November 2009 and by the Simon Wiesenthal Center with their Humanitarian Award in May 2010. In June 2010, Howard was honored by the Chicago Film Festival with their Gold Hugo - Career Achievement Award. In March 2013, Howard was inducted into the Television Hall of Fame. In December 2015, Howard was honored with a star in the Motion Pictures category, making him one of the very few to have been recognized with two stars on the Hollywood Walk of Fame.
Howard also produced and directed the film adaptation of Peter Morgan's critically acclaimed play Frost/Nixon (2008). The film was nominated for five Academy Awards including Best Picture, and was also nominated for The Darryl F. Zanuck Producer of the Year Award in Theatrical Motion Pictures by the PGA.
Howard has also served as an executive producer on a number of award-winning films and television shows, such as the HBO miniseries From the Earth to the Moon (1998), Fox's Emmy Award winner for Best Comedy, Arrested Development (2003), a series which he also narrated, Netflix's release of new episodes of ""Arrested Development"", and NBC's ""Parenthood"".
Howard's recent films include the critically acclaimed drama Rush (2013), staring Chris Hemsworth and Daniel Brühl, written by Peter Morgan; and Made in America (2013), a music documentary he directed staring Jay-Z for Showtime.
Howard's other films include In the Heart of the Sea (2015), based on the true story that inspired Moby Dick; his adaptation of Dan Brown's best-selling novels Angels & Demons (2009), and The Da Vinci Code (2006) staring Oscar winner Tom Hanks; the blockbuster holiday favorite ""Dr. Seuss' How the Grinch Stole Christmas (2000)"" starring Jim Carrey; ""Parenthood"" starring Steve Martin; the fantasy epic Willow (1988); Night Shift (1982) starring Henry Winkler, Michael Keaton and Shelley Long; and the suspenseful western, The Missing (2003), staring Oscar winners Cate Blanchett and Tommy Lee Jones.
Recently, Howard directed Inferno (2016), the third installment of Dan Brown 's Robert Langdon franchise and The Beatles: Eight Days a Week - The Touring Years (2016), a documentary about the rock legends The Beatles. He also produced the second season of Breakthrough (2015), Mars (2016), and directed the first episode of Genius (2017), based on the life of Albert Einstein, all for NatGeo."
"Edward Zwick","https://www.imdb.com/name/nm0001880?ref_=nmls_hd","Zwick moves deftly between the roles of writer, director and producer. He was nominated for a Golden Globe for his direction of the 1989 critically acclaimed Civil War drama, Glory. He received his second Golden Globe nomination as a director for Legends of the Fall. Zwick received an Academy Award as one of the producers of Shakespeare in Love, as well as a second nomination for Traffic. His most recent project, which he wrote, directed and produced was the feature film The Last Samurai. He continues to work with his partner, Marshall Herskovitz, at their company Bedford Falls where they created Thirtysomething, My So-Called Life and Once and Again."
"Rob Reiner","https://www.imdb.com/name/nm0001661?ref_=nmls_hd","Robert Reiner was born in New York City, to Estelle Reiner (née Lebost) and Emmy-winning actor, comedian, writer, and producer Carl Reiner.
As a child, his father was his role model, as Carl Reiner created and starred in The Dick Van Dyke Show. Estelle was also an inspiration for him to become a director; her experience as a singer helped him understand how music was used in a scene. Rob often felt pressured about measuring up to his father's successful streak, with twelve Emmys and other prestigious awards.
When Rob graduated high school, his parents advised him to participate in Summer Theatre. Reiner got a job as an apprentice in the Bucks County Playhouse in Pennsylvania. He went on to UCLA Film School to further his education. Reiner felt he still wasn't successful even having a recurring role on one of the biggest shows in the country, All in the Family. He began his directing career with the Oscar-nominated films This Is Spinal Tap, Stand By Me, and The Princess Bride.
In 1987, with these successful box-office movies under his belt, Reiner founded his own production company, Castle Rock Entertainment; along with Martin Shafer, Andrew Scheinman, Glenn Padnick, and Alan Horn. Under Castle Rock Entertainment, he went to direct Oscar-nominated films When Harry Met Sally, Misery, and A Few Good Men. Reiner has credited former co-star Carroll O'Connor in helping him get into the directing business, showing Reiner the ropes.
Reiner is known as a political activist, co-founding the American Foundation For Equal Rights, a group that was an advisory for same-sex-marriage. He has spoken at several rallies on several topics, an advocate for social change regarding such issues as domestic violence and tobacco use.
Reiner made cameo appearances on television shows 30 Rock, The Simpsons, and Hannah Montana, and in films The First Wives Club, Bullets Over Broadway, Primary Colors, and Throw Momma From The Train, among many others."
"Danny DeVito","https://www.imdb.com/name/nm0000362?ref_=nmls_hd","Danny DeVito has amassed a formidable and versatile body of work as an actor, producer and director that spans the stage, television and film.
Daniel Michael DeVito Jr. was born on November 17, 1944, in Neptune, New Jersey, to Italian-American parents. His mother, Julia (Moccello), was a homemaker. His father, Daniel, Sr., was a small business owner whose ventures included a dry cleaning shop, a dairy outlet, a diner, and a pool hall.
While growing up in Asbury Park, his parents sent him to private schools. He attended Our Lady of Mount Carmel grammar school and Oratory Prep School. Following graduation in 1962, he took a job as a cosmetician at his sister's beauty salon. A year later, he enrolled at New York's American Academy of Dramatic Arts so he could learn more about cosmetology. While at the academy, he fell in love with acting and decided to further pursue an acting career. During this time, he met another aspiring actor Michael Douglas at the National Playwrights Conference in Waterford, Connecticut. The two would later go on to collaborate on numerous projects. Soon after he also met an actress named Rhea Perlman. The two fell in love and moved in together. They were married in 1982 and had three children together.
In 1968, Danny landed his first part in a movie when he appeared as a thug in the obscure Dreams of Glass (1970). Despite this minor triumph, Danny became discouraged with the film industry and decided to focus on stage productions. He made his Off-Broadway debut in 1969 in ""The Man With the Flower in His Mouth."" He followed this up with stage roles in ""The Shrinking Bride,"" and ""Lady Liberty."" In 1975, he was approached by director Milos Forman and Michael Douglas about appearing in the film version of One Flew Over the Cuckoo's Nest (1975), which would star Jack Nicholson in the leading role. With box office success almost guaranteed and a chance for national exposure, Danny agreed to the role. The movie became a huge hit, both critically and financially, and still ranks today as one the greatest movies of all time. Unfortunately, the movie did very little to help Danny's career. In the years following, he was relegated to small movie roles and guest appearances on television shows. His big break came in 1978 when he auditioned for a role on an ABC sitcom pilot called Taxi (1978), which centered around taxi cab drivers at a New York City garage. Danny auditioned for the role of dispatcher Louie DePalma. At the audition, the producers told Danny that he needed to show more attitude in order to get the part. He then slammed down the script and yelled, ""Who wrote this sh**?"" The producers, realizing he was perfect for the part, brought him on board. The show was a huge success, running from 1978 to 1983.
Louie DePalma, played flawlessly by Danny, became one of the most memorable (and reviled) characters in television history. While he was universally hated by TV viewers, he was well-praised by critics, winning an Emmy award and being nominated three other times. Throughout the 1980s and 1990s, Danny maintained his status as a great character actor with memorable roles in movies like Romancing the Stone (1984), Ruthless People (1986), Throw Momma from the Train (1987) and Twins (1988). He also had a great deal of success behind the camera, directing movies like The War of the Roses (1989) and Hoffa (1992). In 1992, Danny was introduced to a new generation of moviegoers when he was given the role of The Penguin/Oswald Cobblepot in Tim Burton's highly successful Batman Returns (1992). This earned him a nomination for Best Villain at the MTV Movie Awards. That same year, along with his then-wife Rhea Perlman, Danny co-founded Jersey Films, which has produced many popular films and TV shows, including Pulp Fiction (1994), Get Shorty (1995), Man on the Moon (1999) and Erin Brockovich (2000). DeVito has many directing credits to his name as well, including Throw Momma from the Train (1987), The War of the Roses (1989), Hoffa (1992), Death to Smoochy (2002) and the upcoming St. Sebastian.
In 2006, he returned to series television in the FX comedy series It's Always Sunny in Philadelphia (2005). With a prominent role in a hit series, Devito's comic talents were now on display for a new generation of television viewers. In 2012, he provided the title voice role in Dr. Seuss' The Lorax (2012).
These days, he continues to work with many of today's top talents as an actor, director and producer."
"Martin Scorsese","https://www.imdb.com/name/nm0000217?ref_=nmls_hd","Martin Charles Scorsese was born on November 17, 1942 in Queens, New York City, to Catherine Scorsese (née Cappa) and Charles Scorsese, who both worked in Manhattan's garment district, and whose families both came from Palermo, Sicily. He was raised in the neighborhood of Little Italy, which later provided the inspiration for several of his films. Scorsese earned a B.S. degree in film communications in 1964, followed by an M.A. in the same field in 1966 at New York University's School of Film. During this time, he made numerous prize-winning short films including The Big Shave (1967), and directed his first feature film, Who's That Knocking at My Door (1967).
He served as assistant director and an editor of the documentary Woodstock (1970) and won critical and popular acclaim for Mean Streets (1973), which first paired him with actor and frequent collaborator Robert De Niro. In 1976, Scorsese's Taxi Driver (1976), also starring De Niro, was awarded the Palme d'Or at the Cannes Film Festival, and he followed that film with New York, New York (1977) and The Last Waltz (1978). Scorsese directed De Niro to an Oscar-winning performance as boxer Jake LaMotta in Raging Bull (1980), which received eight Academy Award nominations, including Best Picture and Best Director, and is hailed as one of the masterpieces of modern cinema. Scorsese went on to direct The Color of Money (1986), The Last Temptation of Christ (1988), Goodfellas (1990), Cape Fear (1991), The Age of Innocence (1993), Casino (1995) and Kundun (1997), among other films. Commissioned by the British Film Institute to celebrate the 100th anniversary of the birth of cinema, Scorsese completed the four-hour documentary, Century of Cinema: A Personal Journey with Martin Scorsese Through American Movies (1995), co-directed by Michael Henry Wilson.
His long-cherished project, Gangs of New York (2002), earned numerous critical honors, including a Golden Globe Award for Best Director; the Howard Hughes biopic The Aviator (2004) won five Academy Awards, in addition to the Golden Globe and BAFTA awards for Best Picture. Scorsese won his first Academy Award for Best Director for The Departed (2006), which was also honored with the Director's Guild of America, Golden Globe, New York Film Critics, National Board of Review and Critic's Choice awards for Best Director, in addition to four Academy Awards, including Best Picture. Scorsese's documentary of the Rolling Stones in concert, Shine a Light (2008), followed, with the successful thriller Shutter Island (2010) two years later. Scorsese received his seventh Academy Award nomination for Best Director, as well as a Golden Globe Award, for Hugo (2011), which went on to win five Academy Awards.
Scorsese also serves as executive producer on the HBO series Boardwalk Empire (2010) for which he directed the pilot episode. Scorsese's additional awards and honors include the Golden Lion from the Venice Film Festival (1995), the AFI Life Achievement Award (1997), the Honoree at the Film Society of Lincoln Center's 25th Gala Tribute (1998), the DGA Lifetime Achievement Award (2003), The Kennedy Center Honors (2007) and the HFPA Cecil B. DeMille Award (2010). Scorsese and actor Leonardo DiCaprio have worked together on five separate occasions: Gangs of New York (2002), The Aviator (2004), The Departed (2006), Shutter Island (2010) and The Wolf of Wall Street (2013)."
"Joel Coen","https://www.imdb.com/name/nm0001054?ref_=nmls_hd","Joel Coen was born on November 29, 1954 in Minneapolis, Minnesota, USA as Joel Daniel Coen. He is a producer and writer, known for The Ballad of Buster Scruggs (2018), Fargo (1996) and Inside Llewyn Davis (2013). He has been married to Frances McDormand since April 1, 1984. They have one child."
"Brian De Palma","https://www.imdb.com/name/nm0000361?ref_=nmls_hd","Brian De Palma is one of the well-known directors who spear-headed the new movement in Hollywood during the 1970s. He is known for his many films that go from violent pictures, to Hitchcock-like thrillers.
Born on the 11th of September in 1940, De Palma was born in New Jersey in an American-Italian family. Originally entering university as a physics student, de Palma became attracted to films after seeing such classics as Citizen Kane (1941). Enrolling in Sarah Lawrence College, he found lasting influences from such varied teachers as Alfred Hitchcock and Andy Warhol.
At first, his films comprised of such black-and-white films as To Bridge This Gap (1969). He then discovered a young actor whose fame would influence Hollywood forever. In 1968, de Palma made the comedic film Greetings (1968) starring Robert de Niro in his first ever credited film role. The two followed up immediately with the film The Wedding Party (1969) and Hi, Mom! (1970).
After making such small-budget thrillers such as Sisters (1972) and Obsession (1976), De Palma was offered the chance to direct a film based on the Stephen King novel ""Carrie"". The story deals with a tormented teenage girl who finds she has the power of telekinesis. The film starred Sissy Spacek, Piper Laurie and John Travolta, and was for De Palma, a chance to try out the split screen technique for which he would later become famous.
Carrie (1976) was a massive success, and earned the two lead females (Laurie and Spacek) Oscar nominations. The film was praised by most critics, and De Palma's reputation was now permanently secured. He followed up this success with the horror film The Fury (1978), the comedic Home Movies (1979) (both these films featured Kirk Douglas, the crime film Dressed to Kill (1980), and another crime thriller entitled Blow Out (1981) starring John Travolta.
His next major success was the controversial, ultra-violent film Scarface (1983). Written by Oliver Stone and starring Al Pacino, the film concerned Cuban immigrant Tony Montana's rise to power in the United States through the drug trade. The film, while being a critical failure, was a major success commercially.
Moving on from Scarface (1983), De Palma made two more movies before landing another one of his now-classics: The Untouchables (1987), starring old friend 'Robert de Niro' in the role of Chicago gangster Al Capone. Also starring in the film were Kevin Costner as the man who commits himself to bring Capone down, and Sean Connery, an old policeman who helps Costner's character to form a group known as the Untouchables. The film was one of de Palma's most successful films, earning Connery an Oscar, and gave Ennio Morricone a nomination for Best Score.
After The Untouchables (1987), De Palma made the Vietnam film Casualties of War (1989) starring Michael J. Fox and Sean Penn. The film focuses on a new soldier who is helpless to stop his dominating sergeant from kidnapping a Vietnamese girl with the help of the coerced members of the platoon. The film did reasonably well at the box office, but it was his next film that truly displayed the way he could make a hit and a disaster within a short time. The Bonfire of the Vanities (1990) starred a number of well-known actors such as Bruce Willis and Morgan Freeman, yet it was still a commercial flop and earned him two Razzie nominations.
But the roller coaster success that De Palma had gotten so far did not let him down. He made the horror film Raising Cain (1992), and the criminal drama Carlito's Way (1993) starring Al Pacino and Sean Penn. The latter film is about a former criminal just released from prison that is trying to avoid his past and move on. It was in the year 1996 that brought one of his most well-known movies. This was the suspense-filled Mission: Impossible (1996) starring Tom Cruise and Jon Voight.
Following up this film was the interesting but unsuccessful film Snake Eyes (1998) starring Nicolas Cage as a detective who finds himself in the middle of a murder scene at a boxing ring. De Palma continued on with the visually astounding but equally unsuccessful film Mission to Mars (2000) which earned him another Razzie nomination. He met failure again with the crime/thriller Femme Fatale (2002) the murder conspiracy The Black Dahlia (2006) and the controversial film Redacted (2007) which deals with individual stories from the war in Iraq.
Brian De Palma may be down for the moment, but if his box office history has taught us anything, it is that he always returns with a major success that is remembered for years and years afterwards."
"Lawrence Kasdan","https://www.imdb.com/name/nm0001410?ref_=nmls_hd","Lawrence Kasdan was born on January 14, 1949 in Miami, Florida, USA as Lawrence Edward Kasdan. He is a writer and producer, known for The Big Chill (1983), Silverado (1985) and Wyatt Earp (1994). He has been married to Meg Kasdan since November 28, 1971. They have two children."
"Jonathan Demme","https://www.imdb.com/name/nm0001129?ref_=nmls_hd","Jonathan Demme was born on February 22, 1944 in Baldwin, Long Island, New York, USA as Robert Jonathan Demme. He was a director and producer, known for The Silence of the Lambs (1991), Rachel Getting Married (2008) and Philadelphia (1993). He was married to Joanne Howard and Evelyn Purcell. He died on April 26, 2017 in Manhattan, New York."
"Clint Eastwood","https://www.imdb.com/name/nm0000142?ref_=nmls_hd","Clint Eastwood was born May 31, 1930 in San Francisco, the son of Clinton Eastwood Sr., a bond salesman and later manufacturing executive for Georgia-Pacific Corporation, and Ruth Wood, a housewife turned IBM operator. He had a comfortable, middle-class upbringing in nearby Piedmont. At school Clint took interest in music and mechanics, but was an otherwise bored student; this resulted in being held back a grade. When Eastwood was 19, his parents relocated to Washington state, and young Clint spent a couple years working menial jobs in the Pacific Northwest. Returning to California in 1951, he did a stint at Fort Ord Military Reservation and later enrolled at Los Angeles City College, but dropped out after two semesters to pursue acting. During the mid-'50s he landed uncredited bit parts in such B-films as Revenge of the Creature (1955) and Tarantula (1955) while digging swimming pools and driving a garbage truck to supplement his income. In 1958, he landed his first consequential acting role in the long-running TV show Rawhide (1959) with Eric Fleming. Though only a secondary player for the first seven seasons, Clint was promoted to series star when Fleming departed--both literally and figuratively--in its final year, along the way becoming a recognizable face to television viewers around the country.
Eastwood's big-screen breakthrough came as The Man with No Name in Sergio Leone's trilogy of excellent spaghetti westerns: A Fistful of Dollars (1964), For a Few Dollars More (1965), and The Good, the Bad and the Ugly (1966). The movies were shown exclusively in Italy during their respective copyright years with Enrico Maria Salerno providing the voice for Clint's character, finally getting American distribution in 1967/68. As the last film racked up phenomenal grosses, Eastwood, 37, rose from television nonentity to sought-after box office attraction in just a matter of months. Yet again a success was the late-blooming star's first U.S.-made western, Hang 'Em High (1968). He followed that up with the lead role in Coogan's Bluff (1968) (the loose inspiration for the TV series McCloud (1970)), before playing second fiddle to Richard Burton in the World War II epic Where Eagles Dare (1968) and Lee Marvin in the bizarre musical Paint Your Wagon (1969). In Two Mules for Sister Sara (1970) and Kelly's Heroes (1970), Eastwood leaned in an experimental direction by combining tough-guy action with offbeat humor.
1971 proved to be his busiest year in film. He starred as a sleazy Union soldier in The Beguiled (1971) to critical acclaim, and made his directorial debut with the classic erotic thriller Play Misty for Me (1971). His role as the hard edge police inspector in Dirty Harry (1971), meanwhile, boosted him to cultural icon status and helped popularize the loose-cannon cop genre. Eastwood put out a steady stream of entertaining movies thereafter: the westerns Joe Kidd (1972), High Plains Drifter (1973) and The Outlaw Josey Wales (1976) (his first of six onscreen collaborations with then live-in love Sondra Locke), the Dirty Harry sequels Magnum Force (1973) and The Enforcer (1976), the road adventures Thunderbolt and Lightfoot (1974) and The Gauntlet (1977), and the fact-based prison film Escape from Alcatraz (1979). He branched out into the comedy genre in 1978 with Every Which Way but Loose (1978), which became the biggest hit of his career up to that time; taking inflation into account, it still is. In short, The Eiger Sanction (1975) notwithstanding, the '70s were nonstop success for Clint.
Eastwood kicked off the '80s with Any Which Way You Can (1980), the blockbuster sequel to Every Which Way but Loose. The fourth Dirty Harry film, Sudden Impact (1983), was the highest-grossing film of the franchise and spawned his trademark catchphrase: ""Make my day."" Clint also starred in Bronco Billy (1980), Firefox (1982), Tightrope (1984), City Heat (1984), Pale Rider (1985) and Heartbreak Ridge (1986), all of which were solid hits, with Honkytonk Man (1982) being his only commercial failure of the period. In 1988 he did his fifth and final Dirty Harry movie, The Dead Pool (1988). Although it was a success overall, it did not have the box office punch the previous films had. About this time, with outright bombs like Pink Cadillac (1989) and The Rookie (1990), it seemed Eastwood's star was declining as it never had before. He then started taking on low-key projects, directing Bird (1988), a biopic of Charlie Parker that earned him a Golden Globe, and starring in and directing White Hunter Black Heart (1990), an uneven, loose biopic of John Huston (both films had a limited release).
Eastwood bounced back--big time--with his dark western Unforgiven (1992), which garnered the then 62-year-old his first ever Academy Award nomination (Best Actor), and an Oscar win for Best Director. Churning out a quick follow-up hit, he took on the secret service in In the Line of Fire (1993), then accepted second billing for the first time since 1970 in the interesting but poorly received A Perfect World (1993) with Kevin Costner. Next up was a love story, The Bridges of Madison County (1995), where Clint surprised audiences with a sensitive performance alongside none other than Meryl Streep. But it soon became apparent he was going backwards after his brief revival. Subsequent films were credible, but nothing really stuck out. Absolute Power (1997) and Space Cowboys (2000) did well enough, while True Crime (1999) and Blood Work (2002) were received badly, as was Midnight in the Garden of Good and Evil (1997), which he directed but didn't appear in.
Eastwood surprised again in the mid-'00s, returning to the top of the A-list with Million Dollar Baby (2004). Also starring Hilary Swank and Morgan Freeman, the hugely successful drama won four Academy Awards, including Best Picture and Best Director for Clint. He scored his second Best Actor nomination, too. Eastwood's next starring vehicle, Gran Torino (2008), earned almost $30 million in its opening weekend and was his highest grosser unadjusted for inflation. 2012 saw him in a rare lighthearted movie, Trouble with the Curve (2012), as well as a reality show, Mrs. Eastwood & Company (2012). And between acting jobs, Clint chalked up a long and impressive list of credits behind the camera. He directed Mystic River (2003) (in which Sean Penn and Tim Robbins gave Oscar-winning performances), Flags of Our Fathers (2006), Letters from Iwo Jima (2006) (nominated for the Best Picture Oscar), Changeling (2008) (a vehicle for screen megastar Angelina Jolie), Invictus (2009) (again with Freeman), Hereafter (2010), J. Edgar (2011), Jersey Boys (2014), American Sniper (2014) (2014's top box office champ), Sully (2016) (starring Tom Hanks as hero pilot Chesley Sullenberger) and The 15:17 to Paris (2018). Back on screens, he played an unlikely drug courier in The Mule (2018), which reached the top of the box office with a nine-figure gross, then directed Richard Jewell (2019). At the age of 91, Eastwood makes history as the oldest actor to star above the title in a movie when Cry Macho (2021) premieres in 2021.
Outside of work, Eastwood has led a hysterically convoluted existence and is described by biographer Patrick McGilligan as a cunning manipulator of the media. His slew of partners and children are now reported somewhat factually, but for the first three decades of his celebrity, his personal life was kept top secret, and several of his families were left out of the official narrative. The Hollywood kingpin refuses to disclose his exact number of offspring even to this day. He had a longtime relationship with equally enigmatic co-star Locke (deceased 2018), and has fathered at least eight children by at least six different women in an unending string of liaisons, many of which overlapped. He has been married only twice, however -- with a mere three of his progeny coming from those unions.
Eastwood has real estate holdings in Bel-Air, Carmel-by-the-Sea, Burney (in northern California), Idaho's Sun Valley and Kihei, Hawaii."
"Abel Ferrara","https://www.imdb.com/name/nm0001206?ref_=nmls_hd","Born in the Bronx, Ferrara started making amateur films on Super 8 in his teens before making his debut with violent exploitation films such as 'Driller Killer' and 'Ms.45'. Good reviews for the latter helped create his cult reputation, leading to larger budgets, studio funding and 'name' actors (Christopher Walken, Harvey Keitel), but he still likes taking his camera out onto the meanest streets of New York, as the ultra-cheap, highly controversial 'Bad Lieutenant' demonstrates."
"James Foley","https://www.imdb.com/name/nm0001226?ref_=nmls_hd","James Foley was born on December 28, 1953 in Brooklyn, New York City, New York, USA. He is a director and writer, known for At Close Range (1986), After Dark, My Sweet (1990) and Glengarry Glen Ross (1992)."
"Robert Altman","https://www.imdb.com/name/nm0000265?ref_=nmls_hd","Robert Altman was born on February 20th, 1925 in Kansas City, Missouri, to B.C. (an insurance salesman) and Helen Altman. He entered St. Peters Catholic school at the age six, and spent a short time at a Catholic high school. From there, he went to Rockhurst High School. It was then that he started exploring the art of exploring sound with the cheap tape recorders available at the time. He was then sent to Wentworth Military Academy in Lexington, Missouri where he attended through Junior College. In 1945, he enlisted in the US Army Air Forces and became a copilot of a B-24. After his discharge from the military, he became fascinated by movies and he and his first wife, LaVonne Elmer, moved to Hollywood, where Altman tried acting (appearing in the film The Secret Life of Walter Mitty (1947)), songwriting (he wrote a musical intended for Broadway, ""The Rumors are Flying""), and screen-writing (he co-wrote the screenplay for the film Bodyguard (1948) and wrote the story (uncredited) for Christmas Eve (1947)), but he could not get a foot hold in Tinseltown. After a brief fling as publicity director with a company in the business of tattooing dogs, Altman finally gave up and returned to his hometown of Kansas City, where he decided he wanted to do some serious work in filmmaking. An old friend of his recommended him to a film production company in Kansas City, the Calvin Co., who hired him in 1950. After a few months of work in writing scripts and editing films, Altman began directing films at Calvin. It was here (while working on documentaries, employee training films, industrial and educational films and advertisements) that he learned much about film making. All in all, Altman pieced together sixty to sixty-five short films for Calvin on every subject imaginable, from football to car crashes, but he kept grasping for more challenging projects. He wrote the screenplay for the Kansas City-produced feature film Corn's-A-Poppin' (1955), he produced and directed several television commercials including one with the Eileen Ford Agency, he co-created and directed the TV series The Pulse of the City (1953) which ran for one season on the independent Dumont network, and he even had a formative crack at directing local community theater. His big-screen directorial debut came while still at Calvin with The Delinquents (1957) and, by 1956, he left the Calvin Co., and went to Hollywood to direct Alfred Hitchcock's TV show. From here, he went on to direct a large number of television shows, until he was offered the script for MASH (1970) in 1969. He was hardly the producer's first choice - more than fifteen other directors had already turned it down. This wasn't his first movie, but it was his first success. After that, he had his share of hits and misses, but The Player (1992) and, more recently, Gosford Park (2001) were particularly well-received."
"James Ivory","https://www.imdb.com/name/nm0412465?ref_=nmls_hd","The main part of his few movies were filmed in the quarter of a century in which he worked closely together with the Indian producer Ismail Merchant and the German writer Ruth Prawer Jhabvala. His first films are all set in India and are very much influenced by the style of Satyajit Ray and Jean Renoir. After this period, he filmed three stories in New York and then dedicated his work to the great works of the English literature which made him internationally famous. Examples of this period are The Europeans (1979) and The Bostonians (1984) by Henry James, Jane Austen in Manhattan (1980) by Jane Austen, Quartet (1981) by Jean Rhys or A Room with a View (1985) and Maurice (1987) by E.M. Forster."
"Quentin Tarantino","https://www.imdb.com/name/nm0000233?ref_=nmls_hd","Quentin Jerome Tarantino was born in Knoxville, Tennessee. His father, Tony Tarantino, is an Italian-American actor and musician from New York, and his mother, Connie (McHugh), is a nurse from Tennessee. Quentin moved with his mother to Torrance, California, when he was four years old.
In January of 1992, first-time writer-director Tarantino's Reservoir Dogs (1992) appeared at the Sundance Film Festival. The film garnered critical acclaim and the director became a legend immediately. Two years later, he followed up Dogs success with Pulp Fiction (1994) which premiered at the Cannes film festival, winning the coveted Palme D'Or Award. At the 1995 Academy Awards, it was nominated for the best picture, best director and best original screenplay. Tarantino and writing partner Roger Avary came away with the award only for best original screenplay. In 1995, Tarantino directed one fourth of the anthology Four Rooms (1995) with friends and fellow auteurs Alexandre Rockwell, Robert Rodriguez and Allison Anders. The film opened December 25 in the United States to very weak reviews. Tarantino's next film was From Dusk Till Dawn (1996), a vampire/crime story which he wrote and co-starred with George Clooney. The film did fairly well theatrically.
Since then, Tarantino has helmed several critically and financially successful films, including Jackie Brown (1997), Kill Bill: Vol. 1 (2003), Kill Bill: Vol. 2 (2004), Inglourious Basterds (2009), Django Unchained (2012) and The Hateful Eight (2015)."
